COD_IDCONTRA,COD_PERSONA,FAP_CONTR,IMP_CAPDIS,IMP_CAPINI,IMP_CAPPEN
00000000000000000017869455,273805,11JUN2002,138232.78,129727.26,39419.47
00000000000000000365414514,274624,24NOV2016,3270.00,3270.00,2933.59
00000000000000000025737264,279204,21JAN2005,143831.00,143831.00,26632.30
00000000000000000272973193,282994,22JAN2016,15053.38,15053.38,13530.97
00000000000000000243312256,283673,05SEP2014,2098.27,2098.27,0.00
00000000000000000018406822,290841,24APR2008,219000.00,219000.00,202141.16
00000000000000000018359046,292966,30MAR2006,192000.00,192000.00,139672.86
00000100000000000514739626,292966,17NOV2015,0.00,0.00,0.00
00000000000000000186038622,293615,22APR2013,4601.23,4601.23,0.00
00000000000000000358872429,294128,10JUL2007,0.00,200002.44,184449.89
00000000000000000358880057,294128,10JUL2007,188609.58,1672.96,184449.89
00000000000000000359440344,294128,04JUN2007,0.00,183016.49,169046.68
00000000000000000359453192,294128,04JUN2007,174327.23,1530.88,169046.68
00000000000000000021601295,297249,07SEP2004,96800.00,106500.00,56424.19
00000000000000000057947045,301267,28JAN2003,3005.06,3005.06,0.00
00000000000000000358910237,302290,22AUG2016,0.00,247.73,215.03
00000000000000000364649719,302290,14NOV2016,12873.67,12873.67,12183.19
00000000000000000366652772,302290,09DEC2016,0.00,1054.99,891.98
00000000000000000372579197,302578,07MAR2017,0.00,229.00,229.00
00000000000000000368854312,312677,13JAN2017,0.00,90.00,60.45
00000000000000000192005377,318414,01AUG2013,3190.00,3190.00,0.00
00000000000000000017823987,324007,10APR2006,210000.00,210000.00,153046.92
00000000000000000264994369,324007,01OCT2015,0.00,0.00,0.00
00000000000000000272822340,324007,20JAN2016,0.00,0.00,0.00
00000000000000000277311596,327029,04APR2016,0.00,0.00,0.00
00000000000000000021339248,327548,06MAY2004,76353.00,52353.00,55627.19
00000000000000000263184801,335135,02SEP2015,13786.37,13786.37,10244.33
00000000000000000246175573,350439,01DEC2014,10951.89,10951.89,6689.29
00000000000000000359563344,355536,06SEP2016,11970.97,11970.97,10983.57
00000000000000000021078724,355968,04JUN2003,187770.00,188000.00,36933.54
00000000000000000025304199,360246,29JAN2004,72610.00,72610.00,29960.69
00000000000000000249187698,361684,26DEC2014,14519.07,14519.07,10802.23
00000100000000000500119312,361684,20APR2011,187930.41,187930.41,172028.27
00000000000000000269612582,364170,02DEC2015,0.00,0.00,0.00
00000000000000000272208852,364170,11JAN2016,0.00,0.00,0.00
00000000000000000272983497,364170,22JAN2016,0.00,0.00,0.00
00000000000000000273273189,364170,27JAN2016,0.00,0.00,0.00
00000000000000000277300128,364170,04APR2016,0.00,0.00,0.00
00000000000000000277503251,364170,06APR2016,0.00,0.00,0.00
00000000000000000277783770,364170,11APR2016,0.00,0.00,0.00
